test_name task_name gold_standard_file model model_configuration metric score_value
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities M5 - root_mean_squared_error 23.705543118092947
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities M5 - root_mean_squared_error 23.825063288429238
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities M5 - root_mean_squared_error 23.957473847116503
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_2 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_2 Regression Cities M5 - root_mean_squared_error 23.72242190294742
/media/marpel/DATA/uniform_cities_200_cosine_2_2 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_7 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_7 Regression Cities M5 - root_mean_squared_error 23.66824136163441
/media/marpel/DATA/uniform_cities_200_cosine_2_7 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_6 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_6 Regression Cities M5 - root_mean_squared_error 23.65466615569162
/media/marpel/DATA/uniform_cities_200_cosine_2_6 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_5 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_5 Regression Cities M5 - root_mean_squared_error 23.78314095037125
/media/marpel/DATA/uniform_cities_200_cosine_2_5 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_cities_200_cosine_2_4 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_cities_200_cosine_2_4 Regression Cities M5 - root_mean_squared_error 23.56474429111588
/media/marpel/DATA/uniform_cities_200_cosine_2_4 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Forbes KNN K=3 root_mean_squared_error 34.29494641503821
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Forbes M5 - root_mean_squared_error 49.15735200769031
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Forbes LR - root_mean_squared_error 35.048308839689064
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Cities KNN K=3 root_mean_squared_error 14.57837903570965
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Cities M5 - root_mean_squared_error 23.85862271130456
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression Cities LR - root_mean_squared_error 30.889954996987928
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticMovies KNN K=3 root_mean_squared_error 18.74443233630239
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticMovies M5 - root_mean_squared_error 25.974891599631565
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticMovies LR - root_mean_squared_error 16.69914892625224
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression AAUP KNN K=3 root_mean_squared_error 69.56293182044524
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression AAUP M5 - root_mean_squared_error 88.45613429473539
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression AAUP LR - root_mean_squared_error 61.45808983308299
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticAlbums KNN K=3 root_mean_squared_error 12.091682335075877
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticAlbums M5 - root_mean_squared_error 16.832132981732325
/media/marpel/DATA/uniform_classification_regression_200_cosine_2_1 Regression MetacriticAlbums LR - root_mean_squared_error 11.611135635522833
