test_name task_name gold_standard_file model model_configuration metric score_value
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5780530872636135
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.001 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5770369104579631
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.001 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5615573023467759
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.001 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5704579630895421
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.001 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5678730918204603
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.001 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.1 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=10.0 accuracy 0.7809637730690363
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=0.01 accuracy 0.500751879699248
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1000 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities KNN K=3 accuracy 0.7395033037138301
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities C45 - accuracy 0.5664513556618819
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=100 accuracy 0.7755901116427432
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities SVM C=1.0 accuracy 0.6944884939621782
/media/marpel/DATA/uniform_cities_200_cosine_2_10 Classification Cities NB - accuracy 0.7852586010480747
